FEN,Moves
2rqk1r1/p3bpQp/2p1pn2/3p2B1/3P4/2N5/PPP2PPP/R4RK1 w - - 3 15,"[None, 'g7h6', 'g8g6', 'h6h4', 'h7h6', 'g5f6']"
r2q1rk1/pp3ppp/2nbpn2/3pN3/3P4/2N1B2P/PPP1bPP1/R2Q1RK1 w - - 0 12,"[None, 'e5c6', 'e2d1', 'c6d8', 'f8d8', 'f1d1', 'd8c8']"
r2q1rk1/p4ppp/2pbpn2/3p4/3P4/2N1B2P/PPP1bPP1/R2Q1RK1 w - - 0 13,"[None, 'c3e2', 'a7a5']"
r4rk1/4qppp/2p1p3/B2p4/3Pn3/bPN1Q2P/2P2PP1/R4RK1 w - - 2 21,"[None, 'c3e4']"
r4rk1/4qppp/2p1p3/8/1b1Pp3/1PB1Q2P/2P2PP1/R4RK1 w - - 2 23,"[None, 'c3b4']"
r5k1/4qppp/2p1p3/8/1b1Pp3/1PB1Q2P/2P2PP1/5RK1 w - - 0 24,"[None, 'e3e4', 'a8c8', 'c3b4']"
1b3rk1/1P4pp/8/8/2P5/5q1P/3B1PP1/5RK1 w - - 0 39,"[None, 'g2f3', 'f8f6']"
4k3/1P4Rp/8/8/2P5/4B2r/5P1b/6K1 w - - 1 44,"[None, 'g1g2', 'h3e3', 'f2e3', 'h2e5', 'g7h7', 'e8d8']"
4k3/1P4Rp/7r/4b3/2P5/4B3/4KP2/8 w - - 5 46,"[None, 'e3h6', 'e5b8']"
4k3/1P5p/1r6/4b3/2P5/4B3/4KPR1/8 w - - 7 47,"[None, 'e3b6', 'e8f7']"
6R1/1P3k1p/1r6/4b3/2P5/4B3/4KP2/8 w - - 9 48,"[None, 'e3b6']"
1b6/1P3k1p/1r6/8/2P5/4B3/4KP2/8 w - - 0 49,"[None, 'e3b6', 'f7e6']"
8/1P5p/3bk3/8/2P5/6B1/4KP2/8 w - - 7 53,"[None, 'g3d6']"
8/1P5p/3Bk3/8/2P5/8/4KP2/8 b - - 0 53,"[None, 'e6d6', 'b7b8q']"
7Q/7p/8/8/2k5/8/4KP2/8 w - - 0 56,"[None, 'h8h7', 'c4c3', 'h7e4', 'c3b3', 'f2f3', 'b3c3', 'f3f4', 'c3b2', 'f4f5', 'b2c3', 'f5f6', 'c3b2']"
8/3Q4/8/8/5P2/8/1k2K3/8 w - - 1 59,"[None, 'f4f5', 'b2a1', 'f5f6', 'a1a2', 'f6f7', 'a2a1', 'f7f8r', 'a1b2', 'f8b8', 'b2c3', 'd7d3']"
