FEN,Moves
8/4pk2/1p4p1/p3p3/Pn2K2P/1R4P1/5b2/8 w - - 0 30,"[None, 'b3f3', 'f7e6', 'f3f2', 'b4a6']"
8/4p3/1p2k1p1/p3p3/Pn2K2P/5RP1/5b2/8 w - - 2 31,"[None, 'f3f2', 'b4a6']"
8/6P1/1p3K2/2n5/3k4/Q3p3/8/8 w - - 0 53,"[None, 'g7g8q', 'c5e4', 'f6f5', 'e4d6']"
6Q1/8/1p6/5K2/3k4/6n1/4p3/8 w - - 0 56,"[None, 'g8g3', 'b6b5']"
r4rk1/ppp3pp/3b2p1/3pn3/3P2Pq/4P2P/PP2QP2/R1B1K2R w KQ - 0 15,"[None, 'd4e5']"
r4rk1/pRp3pp/6p1/3pb3/6Pq/4P2P/P2BQP2/4K2R b K - 0 18,"[None, 'f8f2', 'e2f2']"
1r4k1/p1pq2pp/6p1/3p4/6P1/2bQP2P/P4P2/2BK3R w - - 6 23,"[None, 'd3c3', 'c7c5']"
1r4k1/p5pp/2p3p1/b2p4/5PP1/1q1QPK1P/2R5/2B5 w - - 2 28,"[None, 'd3b3']"
r2q1rk1/ppp2p1p/2n3p1/3N1b2/8/P1Q1PN2/1P4PP/R4RK1 w - - 3 20,"[None, 'd5f6', 'd8f6', 'c3f6', 'a8e8']"
r2q1rk1/ppp2p1p/2n2Np1/5b2/8/P1Q1PN2/1P4PP/R4RK1 b - - 4 20,"[None, 'd8f6', 'c3f6']"
r2q1r2/ppp2p1p/2n3pk/5b1N/8/P1Q1PN2/1P4PP/R4RK1 w - - 7 22,"[None, 'c3g7', 'h6h5', 'g7h7', 'h5g4', 'h7h3']"
r2q1r2/ppp3Np/2n2ppk/5b2/8/P1Q1PN2/1P4PP/R4RK1 w - - 0 23,"[None, 'g7f5']"
r4r2/ppp4p/5p2/5Nk1/3qP1n1/P5Q1/1P4PP/R4RK1 w - - 3 28,"[None, 'f5d4', 'h7h5']"
r4r2/ppp4p/5p2/5Nk1/3qP1n1/P5Q1/1P4PP/R4R1K b - - 4 28,"[None, 'd4e4', 'a1e1', 'e4e1', 'g3e1', 'g5g6', 'e1e4', 'g4h2', 'f5e7', 'g6g7', 'e7f5', 'g7g6']"
r4r2/ppp4p/5pk1/8/4q2Q/P5N1/1P3nPP/R4R1K w - - 4 31,"[None, 'f1f2']"
r4rk1/pp3ppp/1qnbpn2/3p4/P2P2PP/1BP1BP2/1P6/Rb1QK1NR w KQ - 0 12,"[None, 'a1b1', 'a8e8']"
r4rk1/pp1n1ppp/1q1b4/n2pp1B1/P2P2PP/1PPQ1P2/2B5/1R2K1NR w K - 0 17,"[None, 'd3h7']"
r3kbnr/ppp2ppp/2n1p3/q7/3PP3/2N2b2/PP1BBPPP/R2QK2R w KQkq - 0 9,"[None, 'g2f3', 'e8c8']"
r3kbnr/ppp2ppp/4p3/q7/3nP3/2N2B2/PP1B1PPP/R2QK2R w KQkq - 0 10,"[None, 'c3d5', 'a5c5', 'a1c1', 'e6d5', 'c1c5']"
r3kbnr/ppp2ppp/4p3/q7/4P3/2N2n2/PP1B1PPP/R2Q1RK1 w kq - 0 11,"[None, 'd1f3', 'f8d6']"
r3k1nr/pp3ppp/2p1p3/4q3/4P3/2N1b3/PP2QPPP/3R1RK1 w kq - 0 15,"[None, 'e2e3', 'g8f6']"
8/pp4pk/4Q3/3pP1Kp/8/1P4P1/P1r4q/8 b - - 1 33,"[None, 'h2g3', 'g5h5']"
8/pp4pk/4Q3/3pP1Kp/8/1P4q1/P1r5/8 w - - 0 34,"[None, 'g5h5', 'c2h2']"
r2qk2r/pp2bppp/2n1pn2/1B1p2B1/3P2b1/2N2N2/PPP2PPP/R2Q1RK1 w kq - 2 9,"[None, 'b5c6']"
r2q1rk1/pp2bppp/2n1pn2/1B1p2Bb/3P4/2NQ1N1P/PPP2PP1/R4RK1 w - - 3 11,"[None, 'b5c6', 'h5g6']"
2rq1rk1/p3bppp/2p1p1b1/3pN1B1/3Pn3/7P/PPPQNPP1/R4RK1 w - - 6 15,"[None, 'g5e7']"
2r2rk1/p2q2pp/4p1p1/3p4/3N4/2P1QPnP/PP4P1/R4RK1 w - - 1 21,"[None, 'e3e6', 'f8f7', 'e6d7']"
2kr3r/1ppb1qp1/p1nbp3/8/P2PN3/2NB4/1P1Q1PPP/2R2RK1 w - - 5 17,"[None, 'e4d6']"
1k5r/1p4p1/p1np4/3p1B2/P7/8/1P1Q1PP1/2RKr2q w - - 0 27,"[None, 'd2e1', 'h1g2']"
1k5r/1p4p1/p1np4/3p1B2/P7/8/1P3PP1/2RKq3 w - - 0 28,"[None, 'd1e1', 'b8c7']"
1k2r3/1p4p1/p2p4/3p4/P7/7B/1PK2PP1/2n5 w - - 0 32,"[None, 'c2c1', 'e8e4']"
rnbqk2r/ppp2ppp/4pn2/3p4/2PP4/2b1PN2/PP3PPP/R1BQKB1R w KQkq - 0 6,"[None, 'b2c3', 'e8g8']"
r1bq1rk1/pp3pp1/4pn1p/3pn3/P2P4/2PBP3/5PPP/R1BQ1RK1 w - - 0 12,"[None, 'd4e5', 'f6e4']"
r1bqr1k1/pp3pp1/3Bp2p/3pP3/P1n5/2PBP3/2Q2PPP/R4RK1 w - - 7 16,"[None, 'd3c4']"
4r1k1/1p3pp1/p1rBp2p/Pb2P1q1/2p5/2P1P1Q1/5PPP/3R1RK1 w - - 8 24,"[None, 'g3g5']"
5B2/1p3R2/p1r1p1p1/P3P1k1/2p1b1P1/2P4P/8/6K1 w - - 1 42,"[None, 'f8e7', 'g5h6', 'g4g5', 'h6h5', 'f7h7']"
5B2/1p3R2/p1r1p1p1/P3P1k1/2p1b1P1/2P4P/5K2/8 b - - 2 42,"[None, 'c6c7', 'f2g3']"
2r2B2/1p3R2/p3p1p1/P3P1k1/2p1b1P1/2P4P/5K2/8 w - - 3 43,"[None, 'f8e7', 'g5h6', 'g4g5', 'h6h5', 'f7h7']"
2rq1rk1/pp2bppp/2n1pnb1/1B1pN1B1/3P2P1/2N4P/PPP1QP2/R3K2R w KQ - 4 13,"[None, 'b5c6']"
2rq1rk1/pp2bppp/4pnb1/1B1pN1B1/3n2P1/2N4P/PPP1QP2/2KR3R w - - 0 14,"[None, 'd1d4', 'f6e4', 'g5e7', 'e4c3', 'e7d8', 'c3e2', 'b5e2', 'c8c2']"
2rq1rk1/pp2bppp/4p1b1/1B1pN1B1/3Rn1P1/2N4P/PPP1QP2/2K4R w - - 1 15,"[None, 'g5e7', 'e4c3', 'e7d8', 'c3e2', 'b5e2']"
2rq1rk1/pp2Bppp/4p1b1/1B1pN3/3Rn1P1/2N4P/PPP1QP2/2K4R b - - 0 15,"[None, 'e4c3', 'e7d8']"
2r2rk1/pp2qppp/4p1b1/1B1pN3/3Rn1P1/2N4P/PPP1QP2/2K4R w - - 0 16,"[None, 'e5g6', 'e7g5']"
2r2rk1/pp1Nqppp/4p3/1B1p4/3Rb1P1/7P/PPP1QP2/2K4R b - - 1 17,"[None, 'c8c2', 'e2c2']"
5rk1/pp1Nqppp/4p3/1B1p4/3Rb1P1/7P/PP2rP2/3K3R w - - 0 19,"[None, 'd1e2', 'e4h1', 'd7f8', 'e7c5', 'f8e6', 'f7e6']"
2r3k1/pp3ppp/4p3/3p4/3qb1P1/3B1N1P/PP2KP2/7R b - - 1 22,"[None, 'd4d3', 'e2e1']"
2r3k1/pp3ppp/4p3/3p4/3q2P1/3b1N1P/PP3P2/4K2R b - - 1 23,"[None, 'd4b2', 'a2a3']"
2r3k1/pp3ppp/4p3/3p4/1q4P1/3b1N1P/PP3P2/3K3R b - - 3 24,"[None, 'b4b2', 'a2a3']"
r3k2r/2q2ppp/b1p1p3/p1PpPnb1/8/Q4N2/PPP2PPP/RN1R2K1 w kq - 0 14,"[None, 'f3g5', 'c7e7']"
r4rk1/2Q2ppp/b1p1p3/2Pp1nq1/8/2N5/PPP2PPP/R2R2K1 w - - 2 19,"[None, 'c7c6', 'f8c8', 'c6c8']"
r4rk1/2Q2ppp/bNp1p3/2Pp3q/8/5nP1/PPP2PKP/R2R4 w - - 9 25,"[None, 'b6a8', 'a6e2']"
r5k1/2Q2ppp/b1p1p3/2Pp4/6q1/5nP1/PPP2PKP/R6R w - - 0 27,"[None, 'c7c6', 'a8f8', 'c6a6', 'f3h4', 'g2f1', 'g4h3', 'f1e1', 'h4f3', 'e1d1', 'h3f5']"
r5k1/5ppp/b1Q1p3/2Pp4/4q3/5nP1/PPP2PKP/R6R w - - 1 28,"[None, 'c6a8', 'a6c8', 'a8c8']"
rn1k1bnr/pq2pppp/8/8/Q1BP4/2N1Pb2/1P5P/R1B1K1N1 w Q - 0 13,"[None, 'g1f3', 'e7e6']"
r2k2nr/p4ppp/2n1p3/8/Q1BP4/bP2P3/3KN1qP/R7 w - - 0 18,"[None, 'a4a3', 'g8e7']"
3r1k1r/p1Q1nppp/2n1p3/1B6/3P4/1P2P3/3KN1qP/R7 w - - 7 22,"[None, 'b5c6']"
3r1k1r/p1Q2ppp/2n1p3/8/3P4/1P2P3/3KN1qP/R7 w - - 0 23,"[None, 'a1a7', 'g2f2', 'c7c6', 'g7g6']"
3r1k1r/p1Q2ppp/4p3/4n3/3P4/1P2P3/3KN1qP/2R5 w - - 2 24,"[None, 'c7d8']"
3r3r/p3kppp/4p3/4Q3/3P4/1P2P3/3KN1qP/2R5 w - - 1 25,"[None, 'c1c7', 'e7f8', 'e5c5', 'f8g8', 'c7c8', 'g2g5', 'c5g5', 'd8c8']"
3r1k1r/p1R2ppp/4p3/4Q3/3P4/1P2P3/3KN1qP/8 w - - 3 26,"[None, 'e5c5', 'f8g8', 'c7c8', 'g2g5', 'c5g5', 'd8c8']"
3r2kr/p1R2ppp/4p3/2Q5/3P4/1P2P3/3KN1qP/8 w - - 5 27,"[None, 'c7c8', 'g2g5', 'c5g5', 'd8c8']"
6kr/p1R1Qppp/4p3/8/3r4/1P2P3/3KN1qP/8 w - - 0 28,"[None, 'e3d4', 'h7h6', 'e7f7', 'g8h7', 'f7e6', 'h8f8']"
q5kr/p1R1Qppp/4p3/8/3P4/1P6/3KN2P/8 w - - 1 29,"[None, 'e7f7']"
r2qkbnr/pp1npppp/2p5/8/4P3/2NQ1b2/PPP2PPP/R1B2RK1 w kq - 0 8,"[None, 'd3f3', 'g8f6']"
r3k1nr/ppq3pp/2pbpp2/4n3/4PB2/2N3QP/PPP2PP1/3R1RK1 w kq - 1 13,"[None, 'd1d6', 'c7d6', 'g3g7', 'e5f3', 'g2f3', 'd6f4', 'g7h8', 'e8c8']"
r3k1nr/ppq3Qp/2pbppn1/8/4PB2/2N4P/PPP2PP1/3R1RK1 w kq - 1 14,"[None, 'g7c7', 'd6c7', 'f4c7', 'g8e7']"
r3k2r/pp2n1qp/2p1ppn1/2B5/4P3/2N4P/PPP2PP1/3R1RK1 w kq - 2 16,"[None, 'c5e7', 'g6f4']"
r4r1k/p3n1qp/1pp1ppn1/2B5/4P3/6RP/PPP1NPP1/5RK1 w - - 0 19,"[None, 'c5e7']"
r1n2r1k/p5qp/1pp2pn1/8/4Pp2/2B3RP/PPP1N1P1/5RK1 w - - 0 22,"[None, 'e2f4', 'g6f4', 'g3g7', 'f4e2']"
r1n2r1k/p1q4p/1pp2pn1/8/4PR2/2B3RP/PPP1N1P1/6K1 w - - 1 23,"[None, 'f4f6', 'h8g8', 'f6g6']"
r1n2r1k/p1q4p/1pp2p2/8/4P2R/2B2nRP/PPP1N1P1/6K1 w - - 5 25,"[None, 'g3f3', 'c8d6', 'f3f6', 'f8f6', 'c3f6', 'h8g8']"
r1n2r1k/p5qp/1p3p2/2p4R/4PN1R/2B4P/PPP3P1/6K1 w - - 4 29,"[None, 'f4e6', 'g7g3', 'e6f8', 'h8g7', 'f8h7', 'g7f7', 'h7f6', 'c8e7', 'h5h7', 'f7e6']"
r1n4k/p5qp/7r/1pp5/4PN1R/7P/PPP3PK/8 w - - 0 32,"[None, 'h4h6']"
r1n4k/p6p/6qr/1pp5/4P2R/7P/PPP3PK/8 w - - 0 33,"[None, 'h4h6']"
rnbqk1nr/ppp2ppp/4p3/3p4/2PP4/2b2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,"[None, 'b2c3', 'g8e7']"
r1b1k2r/1pqn1ppp/2p5/p2p4/PB1Pn3/2PBPN2/2Q2PPP/R3K2R w KQkq - 0 13,"[None, 'b4a3', 'd7b6', 'd3e4']"
r1b2rk1/2q2ppp/1p3n2/p1BpN1n1/P2P4/2PBPP2/2Q3PP/R4RK1 w - - 0 18,"[None, 'c5f8']"
r4k2/2q2ppp/bp3n2/p2pN1n1/P2P4/2PBPP2/2Q3PP/1R3RK1 w - - 2 20,"[None, 'd3a6']"
6k1/1r1n1ppp/1p6/1Q1p2n1/PN1P4/2q1PP2/6PP/1R3RK1 w - - 0 29,"[None, 'b4d5', 'g5h3', 'g2h3', 'c3a3']"
rnbqkbnr/p3pppp/8/1p6/2pP4/4P3/1P3PPP/RNBQKBNR w KQkq - 0 6,"[None, 'd1f3', 'b8c6', 'f3c6', 'c8d7']"
rnb1kbnr/p3pppp/1q6/1p6/2pP4/4PQ2/1P3PPP/RNB1KBNR w KQkq - 2 7,"[None, 'f3a8', 'e7e5', 'a8a7', 'b6a7', 'a1a7', 'e5d4']"
Qn2kbnr/pb2pppp/1q6/1p6/2pP4/4P3/1P3PPP/RNB1KBNR w KQk - 1 8,"[None, 'a8b8', 'e8d7', 'a1a7', 'b6a7', 'b8a7', 'd7c8']"
1Q3bnr/pb1kpppp/1q6/1p6/2pP4/4P3/1P3PPP/RNB1KBNR w KQ - 1 9,"[None, 'a1a7', 'b6a7', 'b8a7', 'd7c8']"
1Q3b1r/pb2pppp/1q2kn2/1p2N3/2pP4/4P3/1P3PPP/RNB1KB1R w KQ - 5 11,"[None, 'a1a7', 'f6d7', 'e5d7', 'b6a7', 'b8a7', 'e6d7', 'a7b7', 'd7d8']"
1Q3b1r/pb2pp1p/1q2knp1/1p2N3/2pP4/4P3/1P2BPPP/RNB1K2R w KQ - 0 12,"[None, 'a1a7', 'f8g7', 'b8b7', 'b6b7', 'a7b7', 'f6e4', 'b7b5', 'e4d6']"
1Q3b1r/pb1npp1p/1q2k1p1/1p2N3/2pP4/2N1P3/1P2BPPP/R1B1K2R w KQ - 2 13,"[None, 'e5d7', 'e6d7', 'a1a7', 'b6a7', 'b8a7', 'f7f6', 'a7b7', 'd7e8', 'b7b5', 'e8f7', 'e2c4', 'f7g7']"
1Q3b1r/pb1kpp1p/1q4p1/1p6/2pP4/2N1P3/1P2BPPP/R1B1K2R w KQ - 0 14,"[None, 'a1a7', 'b6a7', 'b8a7', 'f7f6', 'a7b7', 'd7e8', 'b7b5', 'e8f7', 'e2c4', 'f7g7']"
r1bq1rk1/ppp2ppp/2n1pn2/3p4/2PP4/2b2NP1/PP1BPPBP/R2QK2R w KQ - 0 8,"[None, 'd2c3', 'b7b6']"
r5k1/1p1bqppp/2p1p3/p2pNn2/2PPn3/1P2P1P1/P4PBP/R2Q1RK1 w - - 3 16,"[None, 'g2e4', 'd5e4', 'e5d7']"
r5k1/1p1q1ppp/2p1p3/p2p1n2/2PPn3/1P2P1P1/P4PBP/R2Q1RK1 w - - 0 17,"[None, 'g2e4']"
r5k1/1p1q1ppp/2p1p3/p2p4/2PP4/1PQ2PP1/P5BP/R4nK1 w - - 0 20,"[None, 'g2f1', 'd5c4', 'b3c4', 'b7b5']"
r5k1/1p3ppp/4p3/p7/3q4/1P3PP1/P5BP/3R2K1 w - - 0 24,"[None, 'd1d4', 'g7g5']"
r5k1/5pp1/4p2p/pp6/3R1P2/1P4P1/P5BP/6K1 w - - 0 26,"[None, 'g2a8', 'g7g5']"
rnbqk1nr/ppp2ppp/4p3/8/2BP4/2b1P3/PP3PPP/R1BQK1NR w KQkq - 0 6,"[None, 'b2c3', 'g8f6']"
r2qr1k1/pppb1ppp/4p3/n2n4/P2P4/B1PBPN2/2Q2PPP/R4RK1 w - - 7 13,"[None, 'd3h7', 'g8h8', 'f3e5', 'd8f6', 'e5d7', 'f6h6']"
r3r1k1/pppb1ppp/4p3/n2nN1q1/P2P4/B1PBP3/2Q2PPP/R4RK1 w - - 9 14,"[None, 'd3h7', 'g8h8', 'e5f7']"
3rr1k1/ppp3pp/4pp2/n2nN1q1/P2P4/B1PBP3/2Q2PPP/R4RK1 w - - 0 16,"[None, 'd3h7', 'g8h8', 'e5f7']"
3rr2k/ppp3pp/5p1q/n3p3/P2PPn2/2PB1N2/Q4PPP/R1B2RK1 w - - 3 20,"[None, 'c1f4']"
3rr2k/ppp4p/5p1q/n3p1p1/P2PPn2/2P2N2/Q1B2PPP/R1B2RK1 w - - 0 21,"[None, 'c1f4']"
3rr2k/ppp4p/7q/n3p1p1/P3Pn2/2P2N2/Q1B2PPP/R1B2RK1 w - - 0 22,"[None, 'c1f4']"
2r2r1k/ppQ4p/7q/n3p1p1/P3Pn2/2P2N2/2B2PPP/R1B2RK1 w - - 1 24,"[None, 'c7a5', 'f4e2', 'g1h1', 'e2c1', 'a1c1', 'g5g4', 'a5e5', 'h6f6', 'e5f6', 'f8f6']"
2r2rk1/pp5p/7q/n3Q1p1/P3Pn2/2P2N2/2B2PPP/R1B2RK1 w - - 1 25,"[None, 'e5a5', 'f4e2', 'g1h1', 'e2c1', 'a1c1', 'g5g4']"
2r2rk1/pp5p/7q/6N1/P2nPn2/2P5/2B2PPP/R1B2RK1 w - - 0 27,"[None, 'c3d4', 'c8c2', 'c1f4']"
5rk1/pp5p/7q/6N1/P2PPn2/8/2r2PPP/R1B2RK1 w - - 0 28,"[None, 'c1f4']"
r2qk2r/p1p2ppp/4pn2/1p1pb3/Q1Pn2b1/2NB1N2/PP3PPP/R1B1K2R w KQkq - 0 10,"[None, 'c3b5', 'd4f3', 'g2f3', 'e8g8', 'f3g4', 'f6g4']"
r2qk2r/p1p2ppp/4pn2/1N1pb3/Q1P3b1/3B1n2/PP3PPP/R1B1K2R w KQkq - 0 11,"[None, 'g2f3', 'e8g8', 'f3g4', 'c7c6']"
r2qk2r/p1pn1ppp/4p3/1N1pb3/Q1P3b1/3B1P2/PP3P1P/R1B1K2R w KQkq - 1 12,"[None, 'f3g4', 'e8g8']"
1r3rk1/2p3pp/p3p3/3pb2Q/2P1n3/2N5/PPB2q1P/R1BK3R w - - 2 20,"[None, 'c2e4']"
3r1rk1/2p3pp/p7/4Q3/2p5/8/PP1B1q1P/R2K3R b - - 0 24,"[None, 'f2d2']"
r2qk2r/pp3ppp/2nbp3/1B1p4/3Pn3/P1N1Pb1P/1P3PP1/R1BQ1RK1 w kq - 0 11,"[None, 'd1f3', 'd8b6', 'c3e4', 'd5e4']"
r2qk2r/pp3ppp/2nbp3/1B1p2n1/3P4/P1N1PQ1P/1P3PP1/R1B2RK1 w kq - 1 12,"[None, 'b5c6']"
r2q1rk1/1p3ppp/p1nbp3/1B1p2n1/1P1P4/P1N1P2P/4QPP1/R1B2RK1 w - - 0 14,"[None, 'b5c6']"
3nr2r/1pb1knQ1/p2qpp2/2Np4/1P1P4/P2BP1P1/1B3PK1/R6R w - - 1 27,"[None, 'h1h8']"
r3kbnr/pp1qpppp/2n5/1N1p1b2/3P2P1/5N1P/PPP2R2/R1BQ2K1 w kq - 0 14,"[None, 'g4f5', 'a7a6']"
r3kbnr/pp2pppp/2n5/1N1p1q2/3P4/5N1P/PPP2R2/R1BQ2K1 w kq - 0 15,"[None, 'b5c7', 'e8d8', 'c7a8', 'g8f6']"
r4bnr/ppNkpppp/2n5/3p1q2/3P4/5N1P/PPP2R2/R1BQ2K1 w - - 2 16,"[None, 'f3e5', 'f5e5', 'd4e5', 'd7c7', 'd1d5', 'g7g5']"
N4bnr/pp1kpppp/8/3pn3/3P4/7q/PPP2R2/R1BQ2K1 w - - 0 18,"[None, 'd4e5', 'e7e6']"
N3kbnr/pp3Rpp/4p3/3pP3/8/7q/PPP5/R1BQ2K1 w - - 1 20,"[None, 'f7f8']"
6nr/pp5p/4k1p1/3pP3/7b/8/PPP3QK/R1Bq4 w - - 0 29,"[None, 'g2h3', 'e6f7', 'h3d7', 'g8e7', 'e5e6', 'f7g7', 'c1h6', 'g7h6', 'a1d1', 'h8c8']"
6nr/pp3k1p/6p1/3pP3/7b/7Q/PPP4K/R1Bq4 w - - 2 30,"[None, 'h3d7', 'g8e7', 'e5e6', 'f7g7', 'c1h6', 'g7h6', 'a1d1', 'h8c8']"
6kr/pp2n2p/5Qp1/3pP3/8/8/PPP4K/R1Bq4 w - - 3 32,"[None, 'f6e6', 'g8g7', 'e6e7', 'g7g8']"
6kr/pp5p/4PQp1/3p1n2/8/8/PPP4K/R1Bq4 w - - 1 33,"[None, 'f6f7']"
rnbqk2r/pp3pp1/2p1pn1p/8/2BPP3/P1b2N2/1P3PPP/R1BQ1RK1 w kq - 0 9,"[None, 'b2c3']"
rnbqr2k/1p3pp1/p1p1pn1p/4N3/P1BP4/B1P5/2Q2PPP/R3R1K1 w - - 2 15,"[None, 'e5f7', 'h8g8', 'f7d8', 'e8d8']"
r1bqr2k/1p1n1pp1/p1p1pn1p/4N3/P1BP4/B1P4P/2Q2PP1/R3R1K1 w - - 1 16,"[None, 'e5f7', 'h8g8', 'f7d8', 'd7f8', 'a3f8', 'g8f8', 'd8e6', 'e8e6', 'c4e6', 'c8e6', 'e1e6', 'a8e8']"
rnbqk2r/ppp2ppp/4pn2/3p4/2PP4/P1b2N2/1P2PPPP/R1BQKB1R w KQkq - 0 6,"[None, 'b2c3', 'c7c5']"
r2q1rk1/ppp2ppp/8/3p1b2/2nPn3/P1P1PN1P/1B2BPP1/R2Q1RK1 w - - 4 13,"[None, 'e2c4']"
r2q1rk1/pp3ppp/2pn4/8/3P4/P1Q1PB1P/5PP1/R4bK1 w - - 0 21,"[None, 'a1f1', 'd8f6']"
r1bqkbnr/ppp2ppp/3p4/8/2P5/2N2n2/PP2PPPP/R1BQKB1R w KQkq - 0 6,"[None, 'e2f3', 'c7c6']"
r4rk1/1b3ppp/2q2n2/p7/2Bb4/1P1Q1P2/P4PPP/1R1R2K1 w - - 0 21,"[None, 'd3d4', 'b7a6']"
3r1rk1/1b3ppp/2q2n2/p7/2BQ4/1P3P2/P4PPP/1R1R2K1 w - - 1 22,"[None, 'd4d8']"
5rk1/1b3ppp/2q5/Q7/2B3n1/1P3P2/P4PPP/1R1r2K1 w - - 0 24,"[None, 'b1d1', 'g4f6']"
5rk1/1b3pp1/2q2n1p/Q7/2B5/1P3P2/P4PPP/2R3K1 w - - 0 26,"[None, 'c4f7', 'g8f7', 'c1c6']"
5rk1/1b3Bp1/2q2n1p/Q7/8/1P3P2/P4PPP/2R3K1 b - - 0 26,"[None, 'g8f7', 'c1c6']"
6k1/1b3rp1/2q2n1p/Q7/8/1P3P2/P4PPP/2R3K1 w - - 0 27,"[None, 'c1c6', 'b7c6']"
4bk2/PQ1n2p1/7p/8/8/r4P1P/5PPK/8 b - - 2 36,"[None, 'a3a7', 'b7a7']"
1rb1r1k1/pp3ppp/3q4/4p3/1b2n3/3P2P1/P1P1QPBP/3R1RK1 w - - 0 19,"[None, 'g2e4', 'g7g6']"
1rb1r1k1/p4ppp/1p1q4/4p3/1b2P3/6P1/P1P1QPBP/3R1RK1 w - - 0 20,"[None, 'd1d6', 'b4d6']"
1r2r1k1/1b3ppp/pp1b4/1Q2p3/P3P3/6P1/2P2PBP/5RK1 w - - 0 23,"[None, 'b5b6', 'b7e4', 'b6d6', 'e4g2', 'g1g2', 'b8d8', 'd6a6', 'e5e4']"
r2r2k1/5ppp/Q2b4/4p3/P1P5/3b2P1/5PBP/3R2K1 w - - 3 27,"[None, 'g2a8', 'd6e7']"
r2r2k1/5ppp/3b4/1Q2p3/P1P5/6P1/2b2PBP/3R2K1 w - - 5 28,"[None, 'd1d6', 'd8d6', 'g2a8', 'd6d1', 'g1g2', 'h7h6']"
1rr3k1/5ppp/Q2bb3/3Bp3/2P5/6P1/5P1P/2R3K1 w - - 8 33,"[None, 'd5e6', 'f7e6', 'a6d6', 'e5e4']"
1rr3k1/5ppp/3Q4/3bp3/2P5/6P1/5P1P/2R3K1 w - - 0 34,"[None, 'd6d5', 'c8d8', 'd5e5', 'd8e8']"
rn2k2r/pbp2p2/1p1pp2n/8/2PqP3/2NB2Q1/PP3PPP/3R1RK1 w kq - 4 16,"[None, 'c3b5', 'd4e5', 'b5c7', 'e8e7', 'g3e5', 'd6e5', 'c7a8', 'b7a8']"
rn2k1r1/pbp2p2/1p1pp2n/4P3/2P2q2/3B3Q/P4PPP/1R3RK1 b q - 0 20,"[None, 'g8g2', 'h3g2']"
r3k1r1/p1pn1p2/1p2p2n/4p3/2P5/3BqbPQ/P6P/1R3R1K w q - 0 24,"[None, 'f1f3']"
r1bqk2r/ppp2ppp/2n1pn2/8/2BP4/P1b1PN2/1P3PPP/R1BQK2R w KQkq - 0 8,"[None, 'b2c3', 'c6a5']"
r3r1k1/2p2ppp/b1n2q2/p7/2PPn3/B3P3/2QN1PPP/2R1R1K1 w - - 3 20,"[None, 'd2e4', 'f6g6', 'f2f3', 'h7h5']"
r5k1/2p2ppp/b1n2q2/p7/2PPr3/B3P3/2Q2PPP/2R1R1K1 w - - 0 21,"[None, 'c2e4', 'f6g6']"
1r4k1/1bp1nppp/8/p2P2q1/2P5/B3P3/1Q3PPP/2R1R1K1 w - - 3 25,"[None, 'a3e7']"
1r4k1/1b3pp1/7p/p5q1/1nP5/B3P2P/3Q1PP1/3RR1K1 w - - 2 29,"[None, 'e3e4', 'f7f5', 'a3b4', 'g5d2', 'b4d2', 'b7a6', 'e4f5', 'a5a4', 'd2h6', 'a4a3']"
1r4k1/1b3pp1/7p/p5q1/1BP5/4P2P/3Q1PP1/3RR1K1 b - - 0 29,"[None, 'g5g2']"
r2qkb1r/pp3ppb/2n1p2P/2ppP3/5n2/2NP1N1P/PPPQBP2/2KR3R w kq - 0 14,"[None, 'd2f4', 'h7g6']"
1k1r2r1/pp6/1qn1R2p/2ppb3/6Q1/1P1P3P/P1P1BP2/1K4R1 w - - 1 26,"[None, 'g4g8', 'd8g8', 'g1g8', 'b8c7', 'e6e5']"
1k4r1/pp6/1qn1R2p/2ppb3/8/1P1P3P/P1P1BP2/1K4R1 w - - 0 27,"[None, 'g1g8', 'b8c7', 'e6e5', 'c6e5']"
6R1/ppk5/1qn1R2p/2ppb3/8/1P1P3P/P1P1BP2/1K6 w - - 1 28,"[None, 'e6e5']"
r1bq1rk1/p4pp1/2pbpn1p/3p2B1/3P4/2NQ1N2/PPP2PPP/R3K2R w KQ - 0 11,"[None, 'g5f6']"
1r3rk1/2q2pp1/b1p1p3/p2pb1Pp/3P3P/2N2Q2/PPP2P2/2KR3R w - - 0 19,"[None, 'd4e5']"
1r3rk1/5p2/b1p1p1p1/p2pq1P1/6QP/2N5/PPP2P2/2KR3R b - - 1 21,"[None, 'b8b2', 'c1b2']"
1r3rk1/8/b1p3p1/p2pQ1P1/5q2/1PN5/P1P5/2KR3R w - - 3 27,"[None, 'e5f4']"
5r2/4Rrk1/b1p3pR/p2p2P1/8/1PN5/P1P5/2K5 w - - 6 31,"[None, 'e7e6', 'f7f1', 'c1b2', 'f1f6', 'e6e7', 'f6f7', 'e7e6', 'f7f6']"
5r2/6k1/8/6p1/3p4/1P1b4/P1PK4/8 w - - 0 45,"[None, 'd2d3', 'g5g4']"
r2q1rk1/pp2bppp/4p3/3pN3/PP5N/2PbP1n1/5PPP/R1Q1K2R w KQ - 0 18,"[None, 'h2g3', 'd3e4']"
r2q1rk1/pp2bppp/4p1b1/3pN3/PP5N/2P1PPP1/6P1/R1Q1K2R w KQ - 1 20,"[None, 'h4g6']"
